CPU %, %MEM, TIME+, COMMAND
12.5, 2.6, 2:08.71, code
6.2, 1.5, 0:45.00, code
0.0, 0.2, 0:03.74, systemd
0.0, 0.0, 0:00.00, kthreadd
0.0, 0.0, 0:00.00, rcu_gp
0.0, 0.0, 0:00.00, rcu_par+
0.0, 0.0, 0:00.00, slub_fl+
0.0, 0.0, 0:00.00, netns
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, mm_perc+
0.0, 0.0, 0:00.00, rcu_tas+
0.0, 0.0, 0:00.00, rcu_tas+
0.0, 0.0, 0:00.00, rcu_tas+
0.0, 0.0, 0:05.34, ksoftir+
0.0, 0.0, 0:08.92, rcu_pre+
0.0, 0.0, 0:00.87, migrati+
0.0, 0.0, 0:00.00, idle_in+
0.0, 0.0, 0:00.00, cpuhp/0
0.0, 0.0, 0:00.00, cpuhp/1
0.0, 0.0, 0:00.00, idle_in+
0.0, 0.0, 0:01.17, migrati+
0.0, 0.0, 0:05.49, ksoftir+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, cpuhp/2
0.0, 0.0, 0:00.00, idle_in+
0.0, 0.0, 0:01.19, migrati+
0.0, 0.0, 0:08.46, ksoftir+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, cpuhp/3
0.0, 0.0, 0:00.00, idle_in+
0.0, 0.0, 0:01.23, migrati+
0.0, 0.0, 0:05.67, ksoftir+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, kdevtmp+
0.0, 0.0, 0:00.00, inet_fr+
0.0, 0.0, 0:00.00, kauditd
0.0, 0.0, 0:00.01, khungta+
0.0, 0.0, 0:00.00, oom_rea+
0.0, 0.0, 0:00.00, writeba+
0.0, 0.0, 0:10.87, kcompac+
0.0, 0.0, 0:00.00, ksmd
0.0, 0.0, 0:00.08, khugepa+
0.0, 0.0, 0:00.00, kintegr+
0.0, 0.0, 0:00.00, kblockd
0.0, 0.0, 0:00.00, blkcg_p+
0.0, 0.0, 0:00.00, tpm_dev+
0.0, 0.0, 0:00.00, ata_sff
0.0, 0.0, 0:00.00, md
0.0, 0.0, 0:00.00, edac-po+
0.0, 0.0, 0:00.00, devfreq+
0.0, 0.0, 0:00.00, watchdo+
0.0, 0.0, 0:00.65, kworker+
0.0, 0.0, 0:14.75, kswapd0
0.0, 0.0, 0:00.00, ecryptf+
0.0, 0.0, 0:00.00, kthrotld
0.0, 0.0, 0:00.00, acpi_th+
0.0, 0.0, 0:00.05, hwrng
0.0, 0.0, 0:00.00, mld
0.0, 0.0, 0:00.00, ipv6_ad+
0.0, 0.0, 0:00.00, kstrp
0.0, 0.0, 0:00.00, zswap-s+
0.0, 0.0, 0:00.00, charger+
0.0, 0.0, 0:00.72, kworker+
0.0, 0.0, 0:01.18, kworker+
0.0, 0.0, 0:00.79, kworker+
0.0, 0.0, 0:00.00, scsi_eh+
0.0, 0.0, 0:00.00, scsi_tm+
0.0, 0.0, 0:00.00, scsi_eh+
0.0, 0.0, 0:00.00, scsi_tm+
0.0, 0.0, 0:00.00, scsi_eh+
0.0, 0.0, 0:00.00, scsi_tm+
0.0, 0.0, 0:01.14, jbd2/sd+
0.0, 0.0, 0:00.00, ext4-rs+
0.0, 0.5, 0:30.30, systemd+
0.0, 0.1, 0:00.26, systemd+
0.0, 0.0, 0:00.00, irq/46-+
0.0, 0.0, 0:00.00, ktpacpid
0.0, 0.0, 0:00.00, cfg80211
0.0, 0.0, 0:11.34, irq/47-+
0.0, 0.0, 0:00.00, cryptd
0.0, 0.1, 0:09.11, systemd+
0.0, 0.1, 0:02.11, systemd+
0.0, 0.1, 0:00.13, systemd+
0.0, 0.0, 0:00.00, card0-c+
0.0, 0.0, 0:00.00, card0-c+
0.0, 0.0, 0:00.00, card0-c+
0.0, 0.0, 0:00.18, avahi-d+
0.0, 0.1, 0:00.07, bluetoo+
0.0, 0.1, 0:01.67, dbus-da+
0.0, 0.0, 0:00.37, irqbala+
0.0, 0.1, 0:00.15, network+
0.0, 0.1, 0:00.34, polkitd
0.0, 0.1, 0:00.06, power-p+
0.0, 0.3, 0:17.17, snapd
0.0, 0.1, 0:00.52, account+
0.0, 0.0, 0:00.06, cron
0.0, 0.1, 0:00.04, switche+
0.0, 0.1, 0:00.22, systemd+
0.0, 0.1, 0:00.53, thermald
0.0, 0.0, 2:38.79, monitor+
0.0, 0.1, 0:00.96, udisksd
0.0, 0.0, 0:00.00, avahi-d+
0.0, 0.1, 0:01.73, Network+
0.0, 0.1, 0:00.16, wpa_sup+
0.0, 0.1, 0:00.12, ModemMa+
0.0, 0.1, 0:08.87, rsyslogd
0.0, 0.1, 0:00.03, cupsd
0.0, 22.8, 1:57.20, java
0.0, 0.0, 0:00.07, show_ti+
0.0, 0.1, 0:00.12, unatten+
0.0, 0.2, 0:02.79, contain+
0.0, 0.1, 0:00.03, gdm3
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.1, 0:00.06, gdm-ses+
0.0, 0.1, 0:01.57, systemd
0.0, 0.0, 0:00.00, (sd-pam)
0.0, 0.1, 0:00.32, pipewire
0.0, 0.0, 0:01.31, snapd-d+
0.0, 0.2, 0:00.50, wireplu+
0.0, 0.1, 0:00.11, pipewir+
0.0, 0.1, 0:00.28, gnome-k+
0.0, 0.1, 0:02.11, dbus-da+
0.0, 0.0, 0:00.10, rtkit-d+
0.0, 0.1, 0:00.00, gdm-way+
0.0, 0.1, 0:00.07, gnome-s+
